2128368,1908224,1279472,412656,855024,-882192,-1223680,-22544,-266768,604160,963056,498672,244720,931840,1139184,1942512,1611760,-965120,-327680,-1267728,-704016,-592896,313344,-1779712,-1472016,-221200,505840,332800,-357392,-1378816,-118784,584688,116224,742400,1392640,1776128,2355200,1673216,590832,76784,-53248,-1803776,-2536464,-1747472,-1561616,-1781760,-1637904,-1135616,-644624,-789520,154112,-984576,-1062400,-172560,-1268224,-1434640,-1693184,-2480656,-2337792,520192,1883136,88560,-129040,-230928,-592384,-260112,-963600,-1356816,-1334272,-1759760
-1100816,-473616,-88576,-243200,238576,1120768,418816,-214032,-1955840,-87040,-27648,494576,-148992,-32256,264704,127472,-123392,1025536,1684480,750576,-593920,-836112,378352,673280,1352688,506352,-32256,-221184,689648,548352,365568,-808960,-318464,422896,-449552,-298512,1277952,1737216,2198512,1945088,1474032,878080,1845232,348160,743424,430592,1021424,625152,-2165248,-1717776,150000,189440,417264,342512,2593264,1367024,1229824,433648,99840,-427008,-616448,-618496,347136,867312,3355632,3703296,1791488,510976,480768,1003008
970736,42992,1142256,1197552,902640,2711024,2205184,2555888,2852352,2620416,3276800,2896880,1760240,789488,110592,345088,-411136,138736,965632,434688,726528,993280,390128,1116656,160768,812544,297984,98816,-700944,-652800,735744,601072,27136,-51728,796656,466432,-792064,203248,384496,492544,-1607680,-179200,-18960,-2100752,-1973264,-604176,-396288,-391184,130048,196096,1017856,-738816,-647680,-406016,-930304,-318480,-1148416,-2162688,-3015168,-1119232,-433152,189936,1034736,1245680,2066944,444928,-1842704,-411152,231408,311280
-168464,-162816,-926208,-2078208,-1243136,-1596432,-1577984,-1644544,-1435648,-1126912,-2027536,-1877008,-1420816,-1203728,-1159168,-675344,-1566720,-1015824,784896,838128,1197056,1007088,1261056,-431104,-1646096,-2246160,-2287616,-1227280,-391696,-23056,290288,720384,-514560,-1377280,-1252352,-496656,1977328,1862656,2786288,2430960,2139632,2521600,2785280,2682880,2531328,2863104,1808384,2537472,1137648,1136640,587776,-591888,-1335296,-2510864,-955920,-1930768,-1217536,-143888,935920,711168,-22016,-1701904,-1533952,-1880592,-1826832,-505856,-1111552,-777216,-1481232,-1934336
-1342480,-2389008,-2514960,-657920,-458768,1223152,1229824,1036800,887792,1428992,2028544,-151056,395264,-353792,-43024,-1159680,420352,1732096,552432,-256016,-486928,-393744,-88080,-678400,-1219088,-1122816,-159232,1354224,1518080,696816,-677888,-2177040,-2170880,357376,873984,454656,-355344,1054720,1479152,-569344,-1787392,-391680,382976,1525232,-179216,-2137600,-2025984,-1337344,-686608,-250384,-755712,-2145296,-81920,504832,688128,1058304,1236992,199152,624112,-439824,-1313280,-1387024,-1404928,-1841168,-2242560,-1918976,-1945616,-896528,201728,2278912
1591296,2542080,1998848,362992,417280,363520,970752,1007088,-591872,-1332752,-118800,1531376,1652208,1253888,440304,-141328,1237488,775664,1090544,1157104,1090560,905216,2579968,1456640,-203280,776176,-313344,824832,124400,623616,95728,-994320,-2076688,-1620992,-1051664,238576,-880656,-262672,649712,37888,-1165312,223232,805376,-373264,-367616,110576,217088,1073152,732160,909824,-1055744,-433152,-261648,419312,574464,1024496,188400,12288,38912,942592,1854448,945136,605184,1275888,1266176,-48640,450560,855024,-1037328,-249360
717808,-312320,-1648656,-841744,932352,1477104,915440,933360,228848,-101904,-879104,-471552,-1779712,-1658896,-1561600,-1594384,-1590800,7664,-1188352,-2310160,-719888,-758800,540144,95744,1231856,880112,608752,610288,574976,2608640,1615360,966128,297968,817152,1331712,1687040,884736,920048,-421888,-632832,-1777680,-1690640,-2033680,-2620944,-3897344,-2087952,-2170384,-303104,-280576,-376848,-432640,-2386960,-3189248,-2501120,-1559568,-836624,-610304,-792576,-118784,252400,2032,781296,2085888,1874416,2414080,2382832,1523184,2211328,2349552,3395568
2823680,3174912,3166208,2017264,937456,-1267728,110592,-16,1125376,1882112,1922032,172528,740352,1474544,1036272,-307200,-824832,-1696768,-61968,-862208,-616960,-466448,-1422848,536576,1403376,1000448,-585744,-378880,-1126928,-2055680,-932368,-297472,-753680,-583680,-1107472,-1185792,-1314832,-1352720,-435728,-573456,-845328,-1098768,-1021968,-1380864,-848384,-201728,-624144,-1840656,-413200,-54272,-409104,-361472,2234368,1461744,1719280,470000,645104,-300544,1208832,322032,-914448,-1256464,-1221136,-1092096,285184,884720,2581504,3656176,2438640,2459648
1543680,77808,1074688,1295856,150000,2051056,1008112,1193472,345088,-293376,542192,67072,-1420816,-108032,799728,-858128,174064,-226816,65520,-395264,-1501696,-1382400,436720,-558096,937984,1044992,616432,-95760,44528,261120,785904,424960,-1126400,122864,-592896,-893968,-262672,24576,-16,-376336,-1058832,-988160,-313872,215024,611824,21488,1582080,1046016,629232,843776,1132016,2017264,955392,-427024,1230832,-414736,-1159168,-1379328,-89600,-576016,-214016,180208,-499216,-1375744,254976,198128,253440,-1574416,-636944,207856
-33808,175088,-372752,182768,1822192,1389040,924144,990720,-230400,718848,914944,289264,329216,720880,-133648,-2154000,-2924048,-2938384,-3621888,-2406400,-2463744,-1927168,630784,-262672,-437776,-530432,-386048,-172560,-157696,-514064,-1366528,-425488,-59408,-689152,-1190416,-1433600,-1733648,-1215488,-3267584,-1875984,-558096,-231936,-446480,830464,443904,-65552,-561680,418304,847344,866288,-86544,70656,228336,21504,2024432,-234496,348144,461824,-551424,-1180160,-1084928,-124432,864752,654320,276976,-1042944,-541696,1084400,2463744,1921536
1805824,2060784,1937392,275440,716272,1208304,719872,265216,-356864,-459264,-961040,-1080832,480240,1008128,788976,352752,681968,1138672,-200704,-416784,-459776,366592,584704,-249856,-239616,1175040,829952,-72192,228848,891904,-59920,-588816,-1891856,-1580560,315392,746480,-1724928,-1389056,-382464,-1491968,-719888,-1073664,-1550864,-1018368,-457744,-906768,-1032704,-1608208,-1999360,-2314768,-1953792,-347648,522752,-631824,-1544208,9216,787968,2457584,2742256,727552,-821264,-1309712,-98304,-130064,-1170960,-1285136,-774656,-2309136,-1350672,-1245712
-558608,600576,-256512,-146432,-47616,-221184,270848,-65536,1412608,2496000,2775536,580592,370160,673792,200176,1333248,-506896,-275968,-1775616,-615952,190448,855552,780272,965120,153088,1145328,734192,83952,528896,718832,-423440,947200,1630704,2006016,2012672,2253296,2735088,1295856,698352,1584112,1947120,1021936,1239536,2899952,1595392,902640,1814512,1371136,330240,1673216,414704,703472,-115712,-174080,-401936,1434096,799232,1851904,638464,848368,476144,1289216,743424,864752,70144,1021424,1032192,1125872,2088448,1709552
749056,989680,60928,-880128,-1069056,-281600,950272,1624048,683008,1904128,2248688,2271232,1482752,864768,854016,578048,12784,-935424,502768,-101376,508912,779264,1210368,-121344,571376,1260544,2279408,1439728,1261040,-989696,-849408,-966160,-89616,737280,823280,821248,-153600,202752,80368,-457728,-737296,-958976,-94208,-1130496,-1455632,-2477584,-740368,-944640,-201232,-258576,-70672,730624,-706560,-532480,87552,-1902080,-1741840,-1852928,-1058320,-1888784,-1063936,-1405440,-869392,-768512,-319488,367600,55808,-1138192,124912,-311824
-309776,-885760,46080,-169984,-720896,12272,-685072,-422416,-413696,564720,-1388048,-988176,-1104912,351728,1261056,1131504,-458768,-219152,589808,-920592,213504,-214544,457200,20480,-451584,-1433104,-476672,-1148416,-2079744,-2334208,-2031120,-3136016,-3334656,-2475008,-2165776,-1885200,-1167376,208896,-415232,-1745408,-1527312,-780304,-376336,-1371136,-803856,-472064,-502800,-233984,126976,-450560,-42512,1728000,3333120,1555456,-525824,-1786368,-1612304,-231424,566256,764928,383984,-505360,-288256,-318976,1526256,1748464,868864,1672176,2907648,5022208
